_module,_source_file,VALUE,QUANTITY,DETAILS
1U PiLLs,1u_pills_build_and_bom.pdf,1k,4,
1U PiLLs,1u_pills_build_and_bom.pdf,2k2,4,
1U PiLLs,1u_pills_build_and_bom.pdf,100k (install on pads marked 1M as well),6,
1U PiLLs,1u_pills_build_and_bom.pdf,RL,2,
1U PiLLs,1u_pills_build_and_bom.pdf,100n,3,
1U PiLLs,1u_pills_build_and_bom.pdf,1u,2,
1U PiLLs,1u_pills_build_and_bom.pdf,10u,1,
1U PiLLs,1u_pills_build_and_bom.pdf,CD4046,2,
1U PiLLs,1u_pills_build_and_bom.pdf,TL072 or TL082,1,
1U PiLLs,1u_pills_build_and_bom.pdf,Eurorack 10 pin power connector OR Pulp Logic connector,1,
1U PiLLs,1u_pills_build_and_bom.pdf,"Schottky, power rectifier or 10R, optional - for reverse voltage protection...or not. BAT54GWX",1,
1U PiLLs,1u_pills_build_and_bom.pdf,3.5MM SOCKET Kobiconn style,9,
1U PiLLs,1u_pills_build_and_bom.pdf,2.54mm single row pin header strip,2x 3 pins AND 2x 2 pins,
1U PiLLs,1u_pills_build_and_bom.pdf,vactrols,2,
1U Signum,1u_signum_build_and_bom.pdf,Eurorack 10 pin power connector,1,
1U Signum,1u_signum_build_and_bom.pdf,"Schottky, power rectifier or 10R, optional - for reverse voltage protection...or not. BAT54GWX",2,
1U Signum,1u_signum_build_and_bom.pdf,3.5MM SOCKET Kobiconn style,4,
1U Signum,1u_signum_build_and_bom.pdf,2.54mm single row pin header strip,2x 3 pins,
1U Signum,1u_signum_build_and_bom.pdf,3mm LED,4,
1U Signum,1u_signum_build_and_bom.pdf,LL4148 diodes,4,
1U Signum,1u_signum_build_and_bom.pdf,TL074 or TL084,1,
1U Signum,1u_signum_build_and_bom.pdf,1k,1,
1U Signum,1u_signum_build_and_bom.pdf,10k,7,
1U Signum,1u_signum_build_and_bom.pdf,22k,1,
1U Signum,1u_signum_build_and_bom.pdf,100k,4,
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1u,1,"Designator: C1, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1u,1,"Designator: C1, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1u,1,"Designator: C1, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1u,1,"Designator: C2, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1u,1,"Designator: C2, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1u,1,"Designator: C2, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1u,1,"Designator: C3, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1u,1,"Designator: C3, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1u,1,"Designator: C3, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10u,1,"Designator: C4, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10u,1,"Designator: C4, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10u,1,"Designator: C4, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10u,1,"Designator: C5, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10u,1,"Designator: C5, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10u,1,"Designator: C5, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10u,1,"Designator: C6, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10u,1,"Designator: C6, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10u,1,"Designator: C6, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10u,1,"Designator: C7, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10u,1,"Designator: C7, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10u,1,"Designator: C7, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10u,1,"Designator: C8, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10u,1,"Designator: C8, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,100k,1,"Designator: R1, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1M,1,"Designator: R1, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10M,1,"Designator: R1, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,100k,1,"Designator: R2, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1M,1,"Designator: R2, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10M,1,"Designator: R2, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,100k,1,"Designator: R3, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1M,1,"Designator: R3, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10M,1,"Designator: R3, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1k,1,"Designator: R4, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1k,1,"Designator: R4, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1k,1,"Designator: R4, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,4k7 (RL),1,"Designator: R5, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,4k7 (RL),1,"Designator: R5, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,4k7 (RL),1,"Designator: R5, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,4k7,1,"Designator: R6, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,4k7,1,"Designator: R6, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,4k7,1,"Designator: R6, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,4k7,1,"Designator: R7, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,4k7,1,"Designator: R7, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,4k7,1,"Designator: R7, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,100k,1,"Designator: R8, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,100k,1,"Designator: R8, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,100k,1,"Designator: R8, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,100k,1,"Designator: R9, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,100k,1,"Designator: R9, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,330k,1,"Designator: R9, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,470k,1,"Designator: R10, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,470k,1,"Designator: R10, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,470k,1,"Designator: R10, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1M,1,"Designator: R11, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,6M8,1,"Designator: R11, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,68M,1,"Designator: R11, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,4M7,1,"Designator: R12, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,10M,1,"Designator: R12, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,100M,1,"Designator: R12, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1k,1,"Designator: R13, Variant: torpor"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,4M7,1,"Designator: R13, Variant: apathy"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,1k,1,"Designator: R13, Variant: inertia"
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,TL074 or TL084,1,
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,Eurorack 10 pin power connector,1,
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,"Schottky, power rectifier or 10R, optional - for reverse voltage protection...or not. BAT54GWX",2,
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,3.5MM SOCKET Kobiconn style,3,
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,2.54mm single row pin header strip,2x 3 pins,
1U Sloth Chaos,1u_sloth_build_and_bom.pdf,3mm bipolar LED,1,
32,32+build+&+BOM.pdf,10 Pin 2.54mm Single Row Female Pin Header,5,
32,32+build+&+BOM.pdf,10 Pin 2.54mm Single Row Pin Header Strip,5,
32,32+build+&+BOM.pdf,kobiconn style jack,36,
32,32+build+&+BOM.pdf,4029,2,
32,32+build+&+BOM.pdf,TL074,1,
32,32+build+&+BOM.pdf,DG406 or DG506,2,
32,32+build+&+BOM.pdf,LED,5,
32,32+build+&+BOM.pdf,LL4148 diode,4,
32,32+build+&+BOM.pdf,BC847,5,
32,32+build+&+BOM.pdf,10 pin eurorack power connector,1,
32,32+build+&+BOM.pdf,10R,2,
32,32+build+&+BOM.pdf,470R,34,
32,32+build+&+BOM.pdf,RL,5,
32,32+build+&+BOM.pdf,10k,12,
32,32+build+&+BOM.pdf,100k,13,
32,32+build+&+BOM.pdf,10uF,3,
32,32+build+&+BOM.pdf,100nF(104),5,
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,100kB pot,4,Tayda: A-1848
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,33pF (33p),1,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,3.5mm kobiconn style socket,9,Tayda: A-865
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,100pF (101 or 100p),5,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,DPDT on-on switch,1,Tayda: A-4568
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,2.2nF (222),2,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,50k trimpot,2,Tayda: A-2500
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,10nF (103),1,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,100k trimpot,1,Tayda: A-2506
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,22nf (223),20,0805 (get good ones!)
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,100nF (104),4,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,10 pin eurorack power connector,1,
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,680nF (684),5,"0805, I used 1μF (105) instead, no difference."
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,TL074,1,SOIC 0.050 pitch
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,100R,2,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,TL072,1,SOIC 0.050 pitch
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,470R,1,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,BC847,4,SOT-23 Tayda: A-1339
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,1k (1),3,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,J112 or J108 FET,2,"thru-hole MUST BE MATCHED, see below"
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,2k7,1,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,BCM847DS,11,Mouser: 771- BCM847DS115
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,3k3,2,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,10k (d),4,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,10R resistor,2,thru hole
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,15k,3,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,100nF capacitor,2,"thru hole, 2.5mm pin spacing"
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,18k,2,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,10μF 25V (or more) electro,2,"thru hole, 2 mm pin spacing"
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,33k,2,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,47k,1,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,56k,1,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,100k (c),10,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,120k,1,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,150k,6,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,220k,6,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,390k,1,0805
329 Phase/Flange,329+Phase+flange+build+and+BOM.pdf,470k,1,0805
4HP Neuron,4HP+Neuron+Build+and+BOM.pdf,100nF,1,
4HP Neuron,4HP+Neuron+Build+and+BOM.pdf,10uF,2,
4HP Neuron,4HP+Neuron+Build+and+BOM.pdf,1k,3,
4HP Neuron,4HP+Neuron+Build+and+BOM.pdf,RL,2,
4HP Neuron,4HP+Neuron+Build+and+BOM.pdf,22k,3,
4HP Neuron,4HP+Neuron+Build+and+BOM.pdf,100k,10,
4HP Neuron,4HP+Neuron+Build+and+BOM.pdf,200k,1,
4HP Neuron,4HP+Neuron+Build+and+BOM.pdf,TL072 / TL082,2,
4HP Neuron,4HP+Neuron+Build+and+BOM.pdf,LEDs,2,
4HP Neuron,4HP+Neuron+Build+and+BOM.pdf,LL4148 diodes,4,
4HP Neuron,4HP+Neuron+Build+and+BOM.pdf,Eurorack 10 pin power connector,1,
4HP Neuron,4HP+Neuron+Build+and+BOM.pdf,Schottky diodes,2,
4HP Neuron,4HP+Neuron+Build+and+BOM.pdf,3.5MM SOCKET Kobiconn style,9,
4HP Neuron,4HP+Neuron+Build+and+BOM.pdf,100k pots,2,
4seq,4SEQ+BOM+guide+dec2023.pdf,4052,1,
4seq,4SEQ+BOM+guide+dec2023.pdf,4029,1,
4seq,4SEQ+BOM+guide+dec2023.pdf,TL074,1,
4seq,4SEQ+BOM+guide+dec2023.pdf,TL072,1,
4seq,4SEQ+BOM+guide+dec2023.pdf,BC547,4,
4seq,4SEQ+BOM+guide+dec2023.pdf,1N4148,2,
4seq,4SEQ+BOM+guide+dec2023.pdf,LED,4,
4seq,4SEQ+BOM+guide+dec2023.pdf,jacks,8,
4seq,4SEQ+BOM+guide+dec2023.pdf,100k pots,4,
4seq,4SEQ+BOM+guide+dec2023.pdf,100nF capacitor (or larger) (‘104’ on PCB),3,
4seq,4SEQ+BOM+guide+dec2023.pdf,10R,2,
4seq,4SEQ+BOM+guide+dec2023.pdf,1k (‘1’ on PCB),14,
4seq,4SEQ+BOM+guide+dec2023.pdf,10k (‘d’ on PCB),3,
4seq,4SEQ+BOM+guide+dec2023.pdf,100k (‘c’ on PCB),15,
4seq,4SEQ+BOM+guide+dec2023.pdf,16 pin IC socket,2,
4seq,4SEQ+BOM+guide+dec2023.pdf,14 pin IC socket,1,
4seq,4SEQ+BOM+guide+dec2023.pdf,8 pin IC socket,1,
4seq,4SEQ+BOM+guide+dec2023.pdf,eurorack power connector (10 pins),1,
4HP MIX,4hp_mix_build_and_bom.pdf,10μF,2,
4HP MIX,4hp_mix_build_and_bom.pdf,1K,1,
4HP MIX,4hp_mix_build_and_bom.pdf,100k,8,
4HP MIX,4hp_mix_build_and_bom.pdf,TL072 or TL082,1,
4HP MIX,4hp_mix_build_and_bom.pdf,Eurorack 10 pin power connector,1,
4HP MIX,4hp_mix_build_and_bom.pdf,"Schottky, power rectifier or 10R",2,
4HP MIX,4hp_mix_build_and_bom.pdf,3.5MM SOCKET Kobiconn style,5,
4HP MIX,4hp_mix_build_and_bom.pdf,100k (B) pot,4,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,1μF,,0805 25V rating
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,10μF,,0805 25V rating
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,-,,LEAVE EMPTY
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,470Ω,,0805 adjust to suit LED brightness
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,1k,,0805
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,4k7,,0805
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,100k,,0805
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,220K,,0805
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,470K,,0805
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,1M,,0805
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,4M7,,0805
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,6M8,,0805
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,10M,,0805
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,68M,,0805
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,100M,,0805
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,TL072 or TL082,,SOIC Tayda: A-1136
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,TL074 or TL084,,SOIC Tayda: A-1137
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,Eurorack 10 pin power connector,,Tayda: A-198
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,10 Pin 2.54mm Single Row Pin Header Strip,,Tayda: A-197
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,10 Pin 2.54mm Single Row Female Pin Header,,Tayda: A-1306
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,"S1JL or similar, optional - for reverse voltage protection",,"SMD, standard power diode 600V 1A, dot on PCB indicates cathode (stripe)"
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,LL4148,,SOD-80
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,10k POT,,Tayda: A-1847
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,100k POT,,Tayda: A-1848
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,Bipolar two pin LED,,5mm
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,3.5MM SOCKET Kobiconn style,,"Tayda: A-865 (version 5 of the bottom PCB must use Thonkiconns, Tayda: A-2563)"
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,1μF,9,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,10μF,16,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,1k,7,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,4k7 / RL,11,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,100k,14,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,1,0805,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,470K,2,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,1M,4,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,4M7,2,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,6M8,1,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,10M,4,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,68M,1,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,100M,1,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,TL072 or TL082,2,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,TL074 or TL084,3,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,Eurorack 10 pin power connector,1,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,Schottky diodes,2,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,LL4148,2,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,10k POT -,1,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,100k POT,1,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,Bipolar two pin LED,3,
8HP Sloth Build And BOM (new),8HP+Sloth+build+and+BOM+(new).pdf,3.5MM SOCKET,13,
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,TL074,3,SOIC Tayda# A-1137
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,10Ω,2,"thru-hole better to use rectifier diodes, like 1N4002 Vers.4 PCB – use sod-123 schottky diodes (min rating 30V, 0.25A/250mA)"
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,4094,1,SOIC CMOS Mouser# 511- HCF4094YM013TR
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,1k,6,0805
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,BC847,9,SOT-23 NPN Tayda# A- 1339
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,10k,27,0805
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,BC857,1,SOT-23 PNP Tayda# A- 1345
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,100k,19,0805
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,LL4148,7,diode SOD-80
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,220k,4,0805
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,470k,8,0805
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,10uF,2,electrolytic 25V or higher rating Vers.4 PCB – must be 0805 min 25V rating (not electrolytic)
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,RL,9,"select resistor to suit LEDs, for WAMOD this will be 10k"
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,100nF,3,0805
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,3mm LED,9,3mm!!! not 5mm
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,10 pin euro power connector,1,(2x5) Tayda# A-198
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,3.5mm thonkiconn type socket,17,Tayda# A-2563 (PJ-3001F)
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,40 pin single,1,break into three sections
8 Bit Cipher,8bitCipher_build&BOM+new.pdf,10 pin single,3,Tayda# A-1306
ADSR312,ADSR312+build+&+BOM.pdf,100k pot,1,
ADSR312,ADSR312+build+&+BOM.pdf,1MA pot,3,
ADSR312,ADSR312+build+&+BOM.pdf,jacks,4,Kobiconn style
ADSR312,ADSR312+build+&+BOM.pdf,BC547,7,marked ‘n’ on PCB
ADSR312,ADSR312+build+&+BOM.pdf,BC557,5,marked ‘p’ on PCB
ADSR312,ADSR312+build+&+BOM.pdf,1N4148 diodes,13,
ADSR312,ADSR312+build+&+BOM.pdf,LED,1,short lead square hole
ADSR312,ADSR312+build+&+BOM.pdf,10R,2,
ADSR312,ADSR312+build+&+BOM.pdf,470R,1,
ADSR312,ADSR312+build+&+BOM.pdf,1k,4,
ADSR312,ADSR312+build+&+BOM.pdf,1k2,1,
ADSR312,ADSR312+build+&+BOM.pdf,2k2,1,
ADSR312,ADSR312+build+&+BOM.pdf,4k7,1,
ADSR312,ADSR312+build+&+BOM.pdf,10k,3,
ADSR312,ADSR312+build+&+BOM.pdf,22k,3,
ADSR312,ADSR312+build+&+BOM.pdf,33k,3,
ADSR312,ADSR312+build+&+BOM.pdf,39k,2,
ADSR312,ADSR312+build+&+BOM.pdf,47k,2,
ADSR312,ADSR312+build+&+BOM.pdf,68k,1,
ADSR312,ADSR312+build+&+BOM.pdf,100k,5,1206 smd
ADSR312,ADSR312+build+&+BOM.pdf,180k,1,
ADSR312,ADSR312+build+&+BOM.pdf,470k,2,
ADSR312,ADSR312+build+&+BOM.pdf,RL,1,"choose to suit your LED eg: 330R for regular, 4k7 for superbright."
ADSR312,ADSR312+build+&+BOM.pdf,10 pin connector,1,Eurorack power connector
ADSR312,ADSR312+build+&+BOM.pdf,104 (small),3,"These are orange and quite little, place in small spaces marked ‘104’"
ADSR312,ADSR312+build+&+BOM.pdf,104 (big),1,100nF
ADSR312,ADSR312+build+&+BOM.pdf,102,1,1nF
